01/12/20 11:02:49:745 | [INFO] |  |  |  | AGSService |  |  | 987 | AdobeGCData folder already exists, validating permissions
01/12/20 11:02:49:745 | [INFO] |  |  |  | AGSService |  |  | 987 | executing command for removing rm -rf "/Library/Application Support/Adobe/AdobeGCData"
01/12/20 11:02:49:752 | [INFO] |  |  |  | AGSService |  |  | 987 | Successfully created/fetched AdobeGCData Folder
01/12/20 11:02:49:752 | [ERROR] |  |  |  | AGSService |  |  | 987 | Successfully updated AdobeGCLaunchEvent DB permissions
01/12/20 11:02:49:752 | [ERROR] |  |  |  | AGSService |  |  | 987 | Successfully updated AdobeNGLAppIDMap DB permissions
01/12/20 11:02:49:752 | [ERROR] |  |  |  | AGSService |  |  | 987 | Couldn't set the proper directory permissions
01/12/20 11:02:49:752 | [ERROR] |  |  |  | AGSService |  |  | 987 | Failed to update AdobeGCData DB permissions
01/12/20 11:03:16:100 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8964 | AdobeGCInvokerUtility : inside getLatestGCApplication
01/12/20 11:03:16:142 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 8964 | ***********AdobeGC Updater library invoked = 6.4.0.55 ************
01/12/20 11:03:16:171 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8964 | Perform WF started
01/12/20 11:03:16:171 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 8964 | Perform WF completed
01/12/20 11:03:16:171 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 8964 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
01/12/20 11:03:16:171 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 18860 | Trying to acquire the semaphore
01/12/20 11:03:16:171 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 18860 | Semaphore acquired
01/12/20 11:03:16:171 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 18860 | Threaded CFU Started
01/12/20 11:03:16:171 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 18860 | Get client install path Started
01/12/20 11:03:16:171 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 18860 | Get client install path Ended
01/12/20 11:03:16:171 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 18860 | Client sanitization started
01/12/20 11:03:16:172 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 18860 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
01/12/20 11:03:21:283 | [INFO] |  |  |  | AGMService |  |  | 20387 | Process Creation Monitoring enabled...
01/12/20 11:03:21:300 | [INFO] |  |  |  | AGMService |  |  | 8920 | Initializing Directory Watcher.
